Title,Chabad House Name,When,Age Group,Description,Date,Start Time,End Time,Location,Zip Code,Website,Image URL
Purim Hamantaschen Bake & Megillah Reading,Chabad of Eugene,Purim Night,All Ages,"Megillah reading and hamantaschen baking. Students, families and community members welcome. Come in costume!",March 3 2026,5:30 PM,,"239 East 14th Avenue, Eugene, OR 97401",97401,https://www.jewisheugene.org/purim,
Purim NY Deli Pop Up & Megillah Reading,Chabad of Bend,Purim Night,All Ages,"Authentic New York Kosher Deli experience with pastrami, corned beef, knishes, and pastries. Interactive Megillah reading. Costumes encouraged! $20/adult, $15/child",March 3 2026,5:00 PM,,Bend OR (address upon RSVP),97701,https://www.jewishbend.com/purim,
Megillah Reading,Chabad of Bend,Purim Night,All Ages,Evening Megillah Reading,March 2 2026,6:15 PM,,Bend OR,97701,https://www.jewishbend.com/purim,
Megillah Reading and Hamantaschen,Chabad of Corvallis,Purim Night,All Ages,Megillah Reading and Hamantaschen,March 3 2026,4:00 PM,,"2206 NW Harrison Blvd, Corvallis, OR",97330,https://www.chabadcorvallis.com/events,
Purim Party,Chabad of Lake Oswego,Purim Day,All Ages,Community Purim celebration,March 2026,,,Lake Oswego OR,97034,https://www.jewishlo.com/purimparty,
Purim at Lewis & Clark,Chabad SW Portland,Purim Night,College Students,Purim celebration for Lewis & Clark students,March 2026,,,Lewis & Clark College,97219,https://student.chabadoncampus.org/swportland/rsvp/events/46579,
Purim at PSU,Chabad SW Portland,Purim Night,College Students,Purim celebration for PSU students,March 2026,,,Portland State University,97201,https://student.chabadoncampus.org/swportland/rsvp/events/46700,
Purim Party,Chabad of Ashland,Purim Day,All Ages,Community Purim celebration,March 2026,,,Ashland OR,97520,https://www.chabadofashland.org/purimparty,
Purim,Chabad of Salem,Purim Day,All Ages,Community Purim celebration,March 2026,,,Salem OR,97301,https://www.jewishsalem.com/purim,
Purim Party,Chabad of Gresham,Purim Day,All Ages,Community Purim celebration,March 2026,,,Gresham OR,97030,https://www.jewishgresham.com/purim5786,
Purim 2026,Portland CYP (20s & 30s),Purim Night,20s-30s,Purim celebration for young professionals,March 2026,,,Portland OR,97201,https://www.pdxcyp.org/templates/articlecco_cdo/aid/7248803/jewish/Purim-2026.htm,
Purim Circus,Chabad of Northeast Portland,Purim Day,All Ages,Purim Circus celebration,March 2026,,,Northeast Portland OR,97212,https://www.jewishnortheast.com/purimcircus,
Purim Event,Chabad of Portland,Purim Day,All Ages,Community event,March 2026,,,Portland OR,97201,https://www.jportland.com/tools/events/register_cdo/eventid/22025/new/true,
Purim Event,Chabad of Portland,Purim Day,All Ages,Community event,March 2026,,,Portland OR,97201,https://www.jportland.com/tools/events/register_cdo/eventid/21971/new/true,
Purim Event,Chabad of Portland,Purim Day,All Ages,Community event,March 2026,,,Portland OR,97201,https://www.jportland.com/tools/events/register_cdo/eventid/22027/new/true,
Purim at Federal Prison,Jewish Oasis,Purim Night,All Ages,Purim celebration at Federal Prison. Contact: Rabbi Chayim E Mishulovin 503-246-5437 RabbiM@ChabadOregon.com,March 2 2026,6:30 PM,,Federal Prison Sheridan OR,97378,,
Purim at Reed College,Chabad of Reed,Purim Night,College Students,Purim celebration for Reed College students,March 2026,,,Reed College Portland OR,97202,https://www.jewishreed.com/templates/articlecco_cdo/aid/3402319/jewish/Purim.htm,
Purim,Chabad of Reed,Purim Day,All Ages,Community Purim celebration,March 2026,,,Reed area Portland OR,97202,https://www.jewishreed.com/1784677,
Purim Party,Chabad of Vancouver WA,Purim Day,All Ages,Community Purim celebration,March 2026,,,"Vancouver, WA",98660,https://pci.jotform.com/form/210336192439959,
80s Themed Purim Party,Chabad of Salem,Purim Day,All Ages,An 80s Themed Purim Party,March 2026,,,Salem OR,97301,https://www.jewishsalem.com/templates/articlecco_cdo/aid/7241396/jewish/An-80s-Themed-Purim-Party.htm,
Megillah at Oregon State Capital,Chabad of Salem,Purim Day,All Ages,Megillah reading at Oregon State Capital. Contact: Rabbi Perlstein (Chabad of Salem),March 2026,9:00 AM,,Oregon State Capital Salem OR,97301,,
Purim at OHSU,Jewish Oasis,Purim Day,All Ages,"Purim at OHSU Hospital. Contact: Rabbi Chayim E Mishulovin 503-246-5437 RabbiM@ChabadOregon.com. With the Support of the Robison Foundation",March 2026,12:00 PM,,OHSU Portland OR,97239,,
Purim for Seniors,Jewish Oasis,Purim Day,Seniors,"Purim celebration for seniors. Contact: Rabbi Chayim E Mishulovin 503-246-5437 RabbiM@ChabadOregon.com. With the Support of the Robison Foundation. More locations coming.",March 2026,,,Portland OR,97201,,
